Comment,Label,Language
ইদুরের গর্তে,Negative,BANGLA
এরা এখন কই,Negative,BANGLA
আদু ভাই,Negative,BANGLA
"সাদ্দাম তুই কই,,,?
তোকে খুঁজতাছি",Negative,BANGLA
এখন দেখি বাংলাদেশে ছাত্রলীগের কোনো জায়গা নেই,Negative,BANGLA
ক্ষমতা পেয়ে ভাবছিলো পুরা দেশটাই ওর মার,Negative,BANGLA
জারজ সাদ্দাম গেল কই?,Negative,BANGLA
তুই কোথায় আছিস ফুটফুটে সুন্দর 😅😅😅😅😮,Negative,BANGLA
দুই বাটপার কোথায়,Negative,BANGLA
ও নিজেই উড়ে গেছে,Negative,BANGLA
বলেন কুততা লিগ,Negative,BANGLA
এই সন্তাসী সংগঠন আজীবনের জন্য নিষিদ্ধ হউক।,Negative,BANGLA
কোথায় আছো কোথায় গেল চাপাবাজি,Negative,BANGLA
কাগজের বাঘ 🐯🐯 মজা পেলাম,Negative,BANGLA
"ছাত্রলীগ নয় বলুন ""ছত্রাকলীগ""",Negative,BANGLA
5 মিনিটে ফু দিয়ে সরিয়ে দিতে গিয়ে নিজেরাই উড়ে গেছে,Negative,BANGLA
এই সন্ত্রাসীদের নিষিদ্ধ করা হোক এদের রাজনীতি করার কোন অধিকার নেই  আমার ভাই বোনদের নৃশংসভাবে হত্যা করেছে,Negative,BANGLA
সাদ্দাম হোসেন এখন কোথায়,Negative,BANGLA
"একটা করে ছাত্রলীগ ধর তার পরে জ,বাই কর",Negative,BANGLA
আহারে সাদ্দাম হোসেন গেলি কই 👈,Negative,BANGLA
😂সাদ্দামা কই আমি তারে খুঁজছি ২৫ দিন হয়ে গেলো 😂,Negative,BANGLA
এখন কোথায় আছত ইঁদুরের গর্তে ঢুকে পরছত নাকি।,Negative,BANGLA
ব্রিগ্রেডিয়ার সাদ্দাম,Negative,BANGLA
চোরদের কেনো নেতা বলেন,Negative,BANGLA
ফু দেওয়ার জন্য বাতাস ভরতে পাশের দেশ ভারতে লুকিয়ে লুকিয়ে গেছে😜,Negative,BANGLA
"আন্দোলন যাবে,আন্দোলন আসবে,
কিন্তু সাদ্দাম আদু আর আসবে না🤣😜",Negative,BANGLA
বগা লীগ কই গেলো? ছেরাদাম কই গেলো?😂,Negative,BANGLA
এরা ছাত্রলীগ না সন্ত্রাস লীগ।,Negative,BANGLA
সাদ্দাম ও তার সহযোগিদের খুজে বের করা হোক😒😒,Negative,BANGLA
এই দুই চামচা আছে কোথায় ....?,Negative,BANGLA
"সাদ্দাম চোরা একটা কথা  শোন কোন সুস্থ্য মানুষ  আওয়ামী-লীগ বা ছাত্র লীগ,  যুবলীগ  করেনা মাথায় গুড়ি পোকা  আছে যাদের  তাঁরাই  এই দলটা করে।",Negative,BANGLA
কই এখন খামকির পোলায়,Negative,BANGLA
ফুটফুটে সুন্দর শো.... বাচ্চারা,Negative,BANGLA
ওরে জবাই করতে হবে যদি কোনোদিন এই দেশে আসে,Negative,BANGLA
সাদ্দাম কই ওর বিচার হওয়া দড়কার।,Negative,BANGLA
হেডার লীগ 😂,Negative,BANGLA
"সামনে আয় তোরা, আয় দেখি!!! 😡😡😡",Negative,BANGLA
পিছনের চেলা গুলা কই?,Negative,BANGLA
বোরকা পরে পালিয়েছে,Negative,BANGLA
সাদ্দাম আমি কিশোরগঞ্জ থেকে বলছি তোকে আমি ২০ বছরের মধ্যে হলেও তোকে আমি দেখব,Negative,BANGLA
রাজাকার যারা তাদের জন্মের ঠিক নাই,Negative,BANGLA
ওরা এখন নিজেদের লিক সারাতে পলাতক 😂😂,Negative,BANGLA
এই দুটি জারজকে পাবলিকের হাতে ছেড়ে দেয়া হোক,Negative,BANGLA
পালায়ছে রে পালায়ছে,Negative,BANGLA
ফু সাদ্দাম 😁,Negative,BANGLA
ওরা কই?😂,Negative,BANGLA
অনেক ফু দিছো। এবার ফু দেওয়া পালা আমাদের,Negative,BANGLA
স্বৈরাচারের তোষামোদকারী এসব পাতি নেতার গণধোলাই হবে,Negative,BANGLA
সন্ত্রাসী লীগের আস্তানা ভেঙ্গে দাও গুড়িয়ে দাও।,Negative,BANGLA
রাজাকারের বাচ্চাও বলেছিল।,Negative,BANGLA
ফু দিতে গিয়ে পা۔۔ দ বেরিয়ে গেছে 😁😁😁,Negative,BANGLA
পাতি নেতা 😜🐸,Negative,BANGLA
এখন তো ওকেই দেখা যাচ্ছে না।,Negative,BANGLA
কাগজের বাঘ😅😅😅😅,Negative,BANGLA
তার........  গর্তে,Negative,BANGLA
সাদ্দামকেই ফু দিয়ে উড়িয়ে দিয়েছে ছাত্ররা।,Negative,BANGLA
আধু,Negative,BANGLA
কোথায় আছো সোনা জাদুরে,Negative,BANGLA
শেখ হাসিনা সারা বাংলাদেশে সন্ত্রাস দিয়ে গাইরা ফালাইছে  😢😢,Negative,BANGLA
ভালো নিউজ 😀,Positive,BANGLA
"পুরা মাস্তান,,, এদের নিয়ে দেশ চালায় আসছে হাসিনা বেগম।",Negative,BANGLA
এতোদিন তোমরা সাংবাদিক রা এদের হয়ে দালালী করছো। আজ আবার বুলি পাল্টাচ্ছো?....,Negative,BANGLA
ছাওলীগকে নিষিদ্ধ করার দাবি জানাই।,Negative,BANGLA
নিশ্চয়ই আওয়ামী লীগ সীমালংঘনকারী একটি সম্প্রদায়।,Negative,BANGLA
"সাদ্দাম রোহিঙ্গা, লীগ",Negative,BANGLA
"সাদ্দামের মতো ছেলেকে এক থাপ্পর দিলে মুতে কাপড় ভিজিয়ে ফেলবে।
কিন্তুু সমস্যা হলো ২৪ ঘন্টাই থাকে পুলিশ এবং র‍্যাবের পাহাড়ায়।",Negative,BANGLA
এঁরা কোথায়,Negative,BANGLA
তোর বাবা মা তোরে জন্ম দিয়ে বড় ভুল করেছে,Negative,BANGLA
ছাত্রলীগ এখন হাওয়ালীগ হয়ে উড়ে গেছে গা ।🤭😂🤣,Negative,BANGLA
সাদ্দাম তো ফুঁ ছাড়া  উড়িয়ে গেলো । তাহলে ফুঁ  দিলে তো  মহাকাশে বিলীন হয়ে যেতো  ।,Negative,BANGLA
কর্মফল ভোগ করতেই হবে,Negative,BANGLA
ওদের।দেখলেই।সাতে।সাতে।মাইরাফালাইতে।হবে।,Negative,BANGLA
ওরাকুলাংগারের।বাচ্চএইজন্নওরা।আজ।বাংলাতেনাই,Negative,BANGLA
